# Numero de nodos n =4 
0 -0.98 0.0399840064 -0.04956180371 0.08954581011
1 -0.969 0.04085964609 -0.09287775358 0.1337373997
2 -0.958 0.04176394185 -0.1327082238 0.1744721657
3 -0.947 0.04269813804 -0.1691552637 0.2118534017
4 -0.936 0.04366354618 -0.2023197572 0.2459833034
5 -0.925 0.0446615492 -0.2323014237 0.2769629729
6 -0.914 0.04569360609 -0.2591988169 0.304892423
7 -0.903 0.0467612569 -0.283109326 0.3298705829
8 -0.892 0.04786612801 -0.3041291747 0.3519953028
9 -0.881 0.04900993799 -0.322353422 0.37136336
10 -0.87 0.0501945037 -0.3378759615 0.3880704652
11 -0.859 0.05142174703 -0.350789522 0.402211269
12 -0.848 0.05269370205 -0.3611856671 0.4138793691
13 -0.837 0.0540125228 -0.3691547952 0.423167318
14 -0.826 0.05538049167 -0.37478614 0.4301666317
15 -0.815 0.0568000284 -0.3781677698 0.4349677982
16 -0.804 0.05827369991 -0.379386588 0.4376602879
17 -0.793 0.05980423085 -0.3785283329 0.4383325637
18 -0.782 0.06139451501 -0.3756775777 0.4370720927
19 -0.771 0.06304762775 -0.3709177305 0.4339653583
20 -0.76 0.06476683938 -0.3643310345 0.4290978739
21 -0.749 0.06655562969 -0.3559985676 0.4225541973
22 -0.738 0.06841770377 -0.3460002429 0.4144179467
23 -0.727 0.07035700905 -0.3344148082 0.4047718173
24 -0.716 0.07237775397 -0.3213198464 0.3936976003
25 -0.705 0.0744844281 -0.3067917751 0.3812762032
26 -0.694 0.07668182411 -0.2909058472 0.3675876713
27 -0.683 0.07897506165 -0.2737361501 0.3527112118
28 -0.672 0.08136961333 -0.2553556066 0.3367252199
29 -0.661 0.08387133299 -0.235835974 0.319707307
30 -0.65 0.08648648649 -0.2152478448 0.3017343313
31 -0.639 0.08922178528 -0.1936606464 0.2828824317
32 -0.628 0.092084423 -0.1711426411 0.2632270641
33 -0.617 0.09508211529 -0.147760926 0.2428430413
34 -0.606 0.09822314334 -0.1235814334 0.2218045767
35 -0.595 0.1015164012 -0.09866893029 0.2001853315
36 -0.584 0.1049714478 -0.07308701878 0.1780584665
37 -0.573 0.1085985627 -0.04689813581 0.1554966985
38 -0.562 0.1124088084 -0.02016355326 0.1325723616
39 -0.551 0.1164140966 0.007056622019 0.1093574746
